,State,Year,Victim_count,Offender_race,Victim_race,Offense,City,Offender_count,Region,Juvenile_Offeneder_Count
31,New York,1993,1,Black or African American,White,Assault,Ithaca,1,Northeast,
32,New Jersey,1992,1,White,Others,Intimidation,Sussex,1,Northeast,
33,New Jersey,1996,1,White,Black or African American,Assault,Union Township,1,Northeast,
34,Rhode Island,1996,1,White,Black or African American,Assault,Newport,2,Northeast,
35,Massachusetts,2016,1,Black or African American,Others,Assault,Boston,1,Northeast,0.0
36,Ohio,2005,1,Black or African American,Others,Assault,Columbus,2,Midwest,
37,Texas,2010,2,White,Black or African American,Intimidation,Thorndale,1,South,
38,California,2014,1,White,Black or African American,Assault,Sierra Madre,1,West,0.0
39,Michigan,2017,1,White,Others,Intimidation,Petoskey,1,Midwest,0.0
40,Indiana,2018,80,Black or African American,White,Intimidation,Indianapolis,1,Midwest,0.0
41,Nevada,2002,1,White,Asian,Intimidation,Las Vegas Metropolitan Police Department,2,West,
42,Alaska,2005,1,White,Black or African American,Assault,Anchorage,1,West,
43,Kentucky,2001,1,White,Black or African American,Assault,Middlesboro,1,South,
44,New Jersey,1997,1,White,Others,Property,Newton,1,Northeast,
45,California,1995,1,White,Black or African American,Assault,Lake Forest,5,West,
46,Maryland,1994,2,Black or African American,White,Assault,Salisbury,10,South,
47,West Virginia,2001,1,White,Black or African American,Property,Charleston,1,South,
48,California,2001,1,White,Others,Assault,Salinas,1,West,
49,Minnesota,1995,3,Asian,Black or African American,Intimidation,Ramsey,1,Midwest,
50,West Virginia,2010,1,White,Black or African American,Property,Fairmont,1,South,
51,New Jersey,1999,1,Black or African American,Others,Intimidation,Mount Olive Township,1,Northeast,
52,Minnesota,2010,1,Others,White,Others,Duluth,3,Midwest,
53,Colorado,2014,1,White,Black or African American,Assault,Centennial,1,West,0.0
54,Michigan,1999,1,White,Black or African American,Intimidation,Algonac,1,Midwest,
55,California,2012,2,White,Others,Assault,San Francisco,3,West,
56,Michigan,2016,1,White,Asian,Intimidation,Escanaba,1,Midwest,0.0
57,Texas,1991,1,White,Black or African American,Assault,Dallas,1,South,
58,Ohio,2000,1,Black or African American,White,Assault,Columbus,1,Midwest,
59,Pennsylvania,2002,1,White,Black or African American,Property,Lancaster,3,Northeast,
60,Texas,2013,1,White,Black or African American,Property,San Angelo,1,South,0.0
61,Ohio,2004,1,Black or African American,Others,Intimidation,Columbus,1,Midwest,
62,Washington,2016,1,White,Black or African American,Assault,Auburn,1,West,0.0
63,Idaho,1994,1,White,White,Intimidation,Cassia,2,West,
64,Oregon,2006,1,White,Black or African American,Assault,Tigard,1,West,
65,Michigan,2017,2,White,Black or African American,Intimidation,Southgate,1,Midwest,0.0
66,Michigan,2012,1,Black or African American,Black or African American,Others,Oakland,1,Midwest,
67,Michigan,1999,1,White,Black or African American,Intimidation,Monroe,1,Midwest,
68,Florida,1992,1,Black or African American,White,Assault,Tampa,1,South,
69,New Jersey,2003,1,White,Others,Property,Deptford Township,1,Northeast,
70,Florida,1996,1,White,Black or African American,Assault,St. Petersburg,3,South,
71,California,2002,1,Asian,Others,Assault,Stockton,1,West,
72,Ohio,1995,1,White,Others,Property,Springfield,1,Midwest,
73,Washington,1996,5,White,Others,Assault,Omak,1,West,
74,Texas,2014,1,White,Black or African American,Property,Fort Worth,1,South,0.0
75,Massachusetts,2015,1,White,Others,Intimidation,Boston,1,Northeast,
76,Maryland,2013,1,White,Black or African American,Assault,Howard County Police Department,1,South,0.0
77,Michigan,2004,1,Black or African American,White,Intimidation,St. Clair,1,Midwest,
78,North Carolina,2008,1,White,Black or African American,Intimidation,Warrenton,1,South,
79,Virginia,1991,1,Black or African American,White,Assault,George Mason University,1,South,
80,Washington,2018,1,Black or African American,White,Others,Seattle,4,West,0.0
81,Texas,2017,1,Black or African American,Others,Assault,Houston,6,South,0.0
82,California,2009,3,White,Black or African American,Intimidation,Solano,1,West,
83,Washington,1991,1,White,Others,Intimidation,Seattle,1,West,
84,Oklahoma,2006,1,White,Black or African American,Assault,McAlester Public Schools,1,South,
85,California,1998,1,White,Black or African American,Assault,Long Beach,1,West,
86,Illinois,2009,2,White,Black or African American,Others,Downers Grove,1,Midwest,
87,California,2003,1,White,Asian,Intimidation,Saratoga,1,West,
88,Arizona,1992,1,White,Others,Assault,Somerton,2,West,
89,Colorado,2011,1,White,Black or African American,Assault,Arapahoe,1,West,0.0
90,Ohio,1993,1,Black or African American,White,Assault,Columbus,3,Midwest,
91,California,2001,1,White,Others,Intimidation,Los Angeles,1,West,
92,California,2010,1,White,Black or African American,Others,Los Angeles,2,West,
93,Michigan,2012,1,White,Others,Intimidation,Dearborn,1,Midwest,
94,Arizona,2015,2,White,Others,Intimidation,Phoenix,1,West,
95,New York,1994,1,White,Others,Assault,Nassau,2,Northeast,
96,New Jersey,2015,1,White,Black or African American,Assault,Howell Township,1,Northeast,
97,New York,1992,1,White,Black or African American,Intimidation,Fallsburg Town,2,Northeast,
98,Kansas,2005,2,White,Black or African American,Assault,Nickerson,1,Midwest,
99,New Jersey,1993,1,White,Black or African American,Intimidation,"Human Services, Woodland Township",1,Northeast,
100,Florida,2008,3,White,Others,Assault,Winter Haven,1,South,
101,Michigan,2005,1,White,Black or African American,Intimidation,Ypsilanti,1,Midwest,
102,Ohio,1999,1,White,Black or African American,Assault,Columbus,1,Midwest,
103,California,2000,1,White,Black or African American,Assault,Long Beach,1,West,
104,Massachusetts,2007,1,White,White,Intimidation,Boston,3,Northeast,
105,California,1999,1,Asian,Others,Assault,San Jose,1,West,
106,California,1997,1,Black or African American,Asian,Assault,Los Angeles,1,West,
107,Michigan,2013,3,Black or African American,Black or African American,Property,Mount Pleasant,2,Midwest,0.0
108,Arkansas,2003,1,Black or African American,Black or African American,Assault,Little River,1,South,
109,Oregon,1998,1,White,Others,Assault,Portland,3,West,
110,Connecticut,2012,1,White,Others,Assault,New Britain,1,Northeast,
111,Washington,1992,1,White,Black or African American,Intimidation,Lynnwood,1,West,
112,Pennsylvania,1998,2,White,Black or African American,Intimidation,State Police:,1,Northeast,
113,Maryland,1991,1,White,Black or African American,Assault,Baltimore County Police Department,1,South,
114,California,2004,1,White,Others,Assault,Concord,1,West,
115,Michigan,1999,1,Black or African American,Black or African American,Assault,Decatur,1,Midwest,
116,California,2012,1,White,Black or African American,Intimidation,San Diego,1,West,
117,Texas,1997,2,White,Others,Assault,Nacogdoches,2,South,
118,Kansas,2016,1,White,Black or African American,Assault,Hiawatha,1,Midwest,0.0
119,District of Columbia,2017,1,Black or African American,Others,Others,Washington,5,South,5.0
120,Colorado,2001,1,White,Others,Assault,Colorado Springs,2,West,
121,Massachusetts,2003,1,White,Black or African American,Intimidation,Boston,2,Northeast,
122,California,2015,3,White,Black or African American,Assault,Sacramento,1,West,
123,Texas,1996,1,White,Black or African American,Assault,Azle,1,South,
124,Ohio,2010,1,White,Black or African American,Property,Cleveland,1,Midwest,
125,Washington,2000,1,Black or African American,White,Assault,Seattle,1,West,
126,New York,1991,1,White,Black or African American,Intimidation,Suffolk County Police Department,1,Northeast,
127,New York,2010,1,Black or African American,Others,Intimidation,New York,1,Northeast,
128,Maryland,1996,1,Black or African American,White,Assault,Baltimore County Police Department,2,South,
129,Minnesota,2011,1,White,Black or African American,Intimidation,Blaine,1,Midwest,0.0
130,Maryland,1998,1,White,Black or African American,Assault,Montgomery County Police Department,1,South,
131,Missouri,2018,2,White,Others,Intimidation,Kansas City,3,Midwest,0.0
132,California,1996,1,Black or African American,Others,Assault,Los Angeles,1,West,
133,Michigan,1996,1,White,White,Others,Brighton,1,Midwest,
134,Michigan,2000,1,White,Black or African American,Intimidation,Warren,1,Midwest,
135,Virginia,2004,2,White,Black or African American,Property,Virginia Beach,1,South,
136,California,1995,1,White,Others,Assault,Richmond,1,West,
137,Florida,2018,1,White,Others,Others,Miami Beach,1,South,0.0
138,Oregon,1995,1,White,Others,Assault,St. Helens,1,West,
139,California,2016,1,Black or African American,Others,Assault,Berkeley,1,West,0.0
140,Utah,2013,1,White,White,Others,Uintah,2,West,0.0
141,Missouri,1998,1,White,Others,Assault,St. Louis,1,Midwest,
142,Michigan,2001,1,White,Black or African American,Assault,Ludington,3,Midwest,
143,California,1998,1,White,Black or African American,Assault,Santee,1,West,
144,Massachusetts,2016,1,Black or African American,White,Assault,Boston,1,Northeast,0.0
145,New York,2008,1,White,Black or African American,Assault,Macedon Town and Village,1,Northeast,
146,California,2011,1,White,Black or African American,Assault,San Diego,1,West,0.0
147,California,1996,1,White,Others,Intimidation,University of California:,1,West,
148,Washington,2013,1,White,White,Others,Renton,1,West,0.0
149,California,2011,1,White,Black or African American,Assault,Los Angeles,2,West,0.0
150,New Jersey,2002,1,White,Black or African American,Assault,"Washington Township, Gloucester County",1,Northeast,
151,Tennessee,2001,2,White,Others,Property,South Carthage,1,South,
152,Maryland,1991,1,White,Black or African American,Assault,Montgomery County Police Department,1,South,
153,Kentucky,2007,1,White,Others,Assault,Paducah,1,South,
154,Texas,1992,1,White,Black or African American,Intimidation,Vidor,2,South,
155,Minnesota,2004,2,White,Black or African American,Intimidation,Lakeville,1,Midwest,
156,Kentucky,2013,1,White,Black or African American,Assault,Owensboro,1,South,0.0
157,Florida,2004,1,Black or African American,White,Assault,St. Petersburg,2,South,
158,Michigan,2012,1,White,Black or African American,Intimidation,Wayland,1,Midwest,
159,Colorado,1998,1,White,Black or African American,Intimidation,Idaho Springs,1,West,
160,New Jersey,2001,1,White,Others,Property,Tenafly,2,Northeast,
161,Texas,2016,1,Black or African American,Others,Assault,Odessa,1,South,0.0
162,Arizona,1998,1,White,Others,Intimidation,Phoenix,1,West,
163,Minnesota,1999,1,Black or African American,Asian,Property,Rochester,1,Midwest,
164,Virginia,2002,1,White,Black or African American,Assault,Henrico County Police Department,1,South,
165,California,2000,1,White,Black or African American,Assault,Lancaster,3,West,
166,New York,1993,1,White,Others,Property,New York,1,Northeast,
167,Tennessee,2009,1,White,White,Intimidation,Kingsport,1,South,
168,New Jersey,2011,1,White,Black or African American,Intimidation,Fair Lawn,2,Northeast,0.0
169,Wisconsin,2013,3,White,Black or African American,Intimidation,Sparta,1,Midwest,0.0
170,Maryland,2003,1,Black or African American,White,Others,Cambridge,1,South,
171,New York,2014,1,White,Black or African American,Assault,Buffalo,1,Northeast,0.0
172,District of Columbia,2012,1,Black or African American,Others,Assault,Metro Transit Police,1,South,
173,Oregon,1991,2,White,Others,Assault,Portland,15,West,
174,Texas,2017,1,Black or African American,White,Assault,Greenville,1,South,0.0
175,Oregon,2004,1,White,Others,Assault,Portland,1,West,
176,California,2015,1,White,Others,Assault,University of California:,1,West,
177,Ohio,1992,1,White,Black or African American,Assault,Akron,3,Midwest,
178,Ohio,2002,2,White,Black or African American,Intimidation,Sylvania,1,Midwest,
179,Oklahoma,1996,2,White,Black or African American,Intimidation,Miami,2,South,
180,Ohio,2008,1,White,Black or African American,Assault,Columbus,3,Midwest,
181,New Jersey,2006,3,White,Black or African American,Assault,Keansburg,1,Northeast,
182,Colorado,1992,1,White,Black or African American,Intimidation,Arvada,1,West,
183,California,2002,1,White,Black or African American,Assault,Santee,9,West,
184,Oregon,2018,1,White,Others,Intimidation,Hermiston,1,West,0.0
185,South Carolina,2001,1,Black or African American,Black or African American,Assault,Colleton,1,South,
186,Maryland,1991,1,Asian,Black or African American,Assault,Baltimore County Police Department,1,South,
187,Georgia,1999,1,White,Others,Intimidation,Atlanta,2,South,
188,Massachusetts,2013,1,White,Others,Assault,Quincy,1,Northeast,0.0
189,Tennessee,2001,1,Black or African American,Others,Intimidation,Memphis,1,South,
190,Washington,2008,1,White,Others,Intimidation,Seattle,5,West,
191,California,2004,3,White,Asian,Others,Cerritos,4,West,
192,Illinois,2001,2,White,Black or African American,Property,Springfield,2,Midwest,
193,New Jersey,2006,1,White,Black or African American,Intimidation,Clementon,1,Northeast,
194,Oregon,2004,3,White,Others,Intimidation,Portland,2,West,
195,New Jersey,2010,1,White,Black or African American,Intimidation,Keansburg,1,Northeast,
196,New Jersey,1994,2,White,Black or African American,Intimidation,Pine Hill,1,Northeast,
197,New York,1997,1,White,Others,Intimidation,New York,2,Northeast,
198,California,2006,2,White,Black or African American,Others,Los Angeles,1,West,
199,South Carolina,1994,1,White,Others,Assault,Spartanburg,1,South,
200,Illinois,2013,2,Black or African American,Others,Assault,Chicago,2,Midwest,0.0
201,Florida,1995,1,White,Others,Assault,Palm Bay,3,South,
202,Maine,2009,1,White,White,Assault,Auburn,1,Northeast,
203,Texas,1996,1,White,Black or African American,Intimidation,Austin,2,South,
204,Arizona,1997,1,White,Black or African American,Assault,Phoenix,1,West,
205,Arizona,1997,1,White,Black or African American,Assault,Phoenix,1,West,
206,Texas,1996,1,White,Black or African American,Assault,Houston,2,South,
207,Illinois,2016,1,Black or African American,Others,Assault,Rockford,1,Midwest,0.0
208,New York,2014,1,Black or African American,Others,Assault,Yonkers,1,Northeast,0.0
209,New Jersey,1992,1,White,Asian,Intimidation,Oradell,1,Northeast,
210,North Carolina,2014,2,White,Black or African American,Intimidation,Oxford,1,South,0.0
211,Florida,2001,1,Black or African American,White,Assault,Delray Beach,2,South,
212,Pennsylvania,1991,1,White,Black or African American,Intimidation,McKeesport,1,Northeast,
213,Texas,2008,1,Black or African American,White,Assault,Houston,2,South,
214,Arizona,2017,1,White,Others,Intimidation,Phoenix,1,West,0.0
215,California,2001,1,White,Others,Assault,Los Angeles,1,West,
216,Ohio,1998,1,White,Black or African American,Intimidation,Columbus,1,Midwest,
217,New Jersey,1995,1,Black or African American,White,Assault,Glassboro,1,Northeast,
218,New Jersey,2001,1,White,Black or African American,Intimidation,Little Egg Harbor Township,1,Northeast,
219,Michigan,2001,1,White,Others,Assault,Gladwin,1,Midwest,
220,California,2012,1,Black or African American,Others,Assault,Los Angeles,2,West,
221,Michigan,2009,1,White,Black or African American,Intimidation,Greenville,1,Midwest,
222,Minnesota,2007,1,White,Black or African American,Assault,Minneapolis,1,Midwest,
223,Arizona,2014,1,White,Black or African American,Assault,Phoenix,1,West,0.0
224,Nebraska,2007,1,White,Others,Intimidation,Omaha,1,Midwest,
225,Michigan,1996,1,White,Others,Assault,Taylor,1,Midwest,
226,Connecticut,2016,1,White,Others,Property,Waterbury,1,Northeast,0.0
227,California,2007,1,White,Others,Property,San Bruno,1,West,
228,New Jersey,2006,1,White,Black or African American,Intimidation,Edison Township,1,Northeast,
229,Washington,1994,1,Black or African American,White,Assault,Bremerton,2,West,
230,North Carolina,1996,1,White,Black or African American,Property,Cabarrus,3,South,
231,Maryland,2005,1,White,Black or African American,Property,State Police:,2,South,
232,Illinois,2000,1,White,Black or African American,Assault,Chicago,1,Midwest,
233,Washington,2006,1,Black or African American,Others,Assault,Spokane,2,West,
234,North Dakota,2014,1,Others,Others,Intimidation,McLean,1,Midwest,0.0
235,Maryland,1992,1,Black or African American,Others,Assault,Montgomery County Police Department,1,South,
236,Kansas,2015,2,White,Others,Property,Dodge City,1,Midwest,
237,Arizona,1998,1,Black or African American,White,Assault,Phoenix,1,West,
238,California,1998,1,White,Others,Assault,Los Angeles,1,West,
239,Massachusetts,2002,1,White,White,Intimidation,Greenfield,1,Northeast,
240,Iowa,1997,1,White,Black or African American,Assault,Washington,1,Midwest,
241,California,2018,1,White,Black or African American,Assault,Oceanside,5,West,0.0
242,Massachusetts,2003,1,White,Black or African American,Assault,Boston,1,Northeast,
243,California,1998,1,Black or African American,White,Intimidation,Pasadena,2,West,
244,Oregon,2000,1,White,Black or African American,Assault,Milwaukie,1,West,
245,Georgia,1994,1,Black or African American,Others,Others,Atlanta,1,South,
246,Arkansas,2006,1,White,Black or African American,Assault,Jonesboro,1,South,
247,Ohio,2008,1,White,Black or African American,Others,Grove City,1,Midwest,
248,Ohio,2017,2,White,Asian,Assault,Akron,1,Midwest,1.0
249,New York,1996,1,Black or African American,White,Others,Nassau,1,Northeast,
250,Virginia,1993,2,Black or African American,White,Intimidation,George Mason University,1,South,
251,Michigan,2000,1,Black or African American,White,Others,Romulus,1,Midwest,
252,California,2002,1,White,Black or African American,Intimidation,Contra Costa,3,West,
253,Tennessee,2016,3,White,Black or African American,Intimidation,Hamilton,1,South,1.0
254,North Carolina,2012,2,White,Black or African American,Intimidation,Charlotte-Mecklenburg,4,South,
255,California,2001,1,Black or African American,Others,Assault,Los Angeles,2,West,
256,Washington,1996,1,White,Black or African American,Assault,Kent,2,West,
257,Massachusetts,2012,1,White,Others,Others,Seekonk,1,Northeast,
258,Massachusetts,2017,1,Black or African American,Others,Assault,Boston,1,Northeast,0.0
259,South Carolina,2008,1,White,White,Others,Hampton,1,South,
260,New Jersey,1999,3,White,Black or African American,Intimidation,Clementon,1,Northeast,
261,Oklahoma,1992,3,White,Black or African American,Assault,Tulsa,2,South,
262,Ohio,2008,1,White,Black or African American,Others,Defiance,1,Midwest,
263,New Jersey,1991,1,White,Black or African American,Assault,Lincoln Park,1,Northeast,
264,Washington,2017,1,White,Black or African American,Assault,Seattle,1,West,0.0
265,New Jersey,1997,1,White,Black or African American,Intimidation,Egg Harbor City,1,Northeast,
266,Alaska,2014,2,White,Black or African American,Assault,Anchorage,1,West,0.0
267,New Jersey,2002,1,White,Black or African American,Intimidation,Manville,1,Northeast,
268,Washington,2007,2,White,Others,Intimidation,Seattle,2,West,
269,Washington,1995,1,White,Black or African American,Intimidation,Kitsap,3,West,
270,North Carolina,2012,1,White,Black or African American,Assault,Thomasville,1,South,
271,California,1997,1,White,Black or African American,Assault,Pomona,2,West,
272,Ohio,2014,1,White,Black or African American,Assault,Dayton,2,Midwest,0.0
273,Maryland,1994,1,White,Others,Property,Howard County Police Department,1,South,
274,California,1999,1,White,Black or African American,Assault,San Francisco,1,West,
275,California,1993,1,White,Others,Assault,San Jose,2,West,
276,Massachusetts,1998,1,White,Black or African American,Assault,Hull,1,Northeast,
277,Texas,2002,3,Black or African American,Others,Others,Houston,4,South,
278,Michigan,2012,1,White,Black or African American,Assault,Ann Arbor,1,Midwest,
279,Tennessee,2011,2,Black or African American,Others,Assault,Memphis,1,South,0.0
280,Arizona,2010,2,White,Others,Intimidation,Phoenix,1,West,
281,West Virginia,2008,1,Black or African American,White,Assault,Kanawha,2,South,
282,Maine,2015,2,White,Black or African American,Intimidation,Old Orchard Beach,1,Northeast,
283,Michigan,1995,1,White,Black or African American,Property,Monroe,1,Midwest,
284,Washington,1991,2,White,Others,Property,Port of Seattle,12,West,
285,Texas,1997,1,White,Black or African American,Assault,Austin,1,South,
286,California,2013,1,White,Black or African American,Assault,Chula Vista,1,West,0.0
287,Ohio,2010,1,Black or African American,Others,Assault,Massillon,1,Midwest,
288,California,2009,2,White,Others,Assault,Lakewood,1,West,
289,Michigan,1995,1,White,Black or African American,Intimidation,Lapeer,1,Midwest,
290,California,2002,1,White,Black or African American,Intimidation,Sacramento,1,West,
291,Colorado,2008,1,White,Black or African American,Assault,Grand Junction,3,West,
292,Florida,1996,1,Black or African American,White,Assault,St. Petersburg,2,South,
293,Connecticut,1993,1,Black or African American,White,Assault,Windsor,2,Northeast,
294,South Dakota,2014,1,Asian,Black or African American,Assault,Canton,1,Midwest,1.0
295,New York,1991,1,White,White,Intimidation,Suffolk County Police Department,2,Northeast,
296,California,2002,1,Black or African American,Asian,Assault,San Diego,1,West,
297,Oregon,1994,1,White,Asian,Assault,Salem,2,West,
298,Maryland,1992,3,White,Others,Assault,State Police:,2,South,
299,California,2017,1,White,Black or African American,Assault,Los Angeles,3,West,0.0
300,Michigan,2016,1,White,White,Property,State Police:,1,Midwest,0.0
301,California,2017,1,White,Others,Assault,Berkeley,1,West,0.0
302,Wisconsin,2010,1,Black or African American,Others,Others,Madison,2,Midwest,
303,Connecticut,2012,1,White,Black or African American,Intimidation,New Haven,1,Northeast,
304,Colorado,1993,2,Black or African American,White,Property,Boulder,5,West,
305,Texas,1992,2,White,Black or African American,Assault,Terrell,3,South,
306,West Virginia,1998,1,Black or African American,White,Property,State Police:,1,South,
307,California,2001,1,White,White,Assault,Hemet,1,West,
308,Kentucky,2017,1,Black or African American,Asian,Intimidation,Park Hills,1,South,0.0
309,Rhode Island,1995,1,Black or African American,White,Intimidation,Providence,1,Northeast,
310,California,2007,1,Black or African American,White,Intimidation,Upland,1,West,
311,Oklahoma,2008,1,Others,Others,Intimidation,Norman,1,South,
312,Ohio,1999,1,Black or African American,White,Assault,Columbus,1,Midwest,
313,Massachusetts,1996,1,Others,Black or African American,Intimidation,Boston,1,Northeast,
314,New York,2000,1,White,Black or African American,Intimidation,Suffolk County Police Department,1,Northeast,
315,California,2001,1,White,Black or African American,Assault,Los Angeles,2,West,
316,New Jersey,1992,1,White,Black or African American,Intimidation,North Bergen Township,2,Northeast,
317,Colorado,1992,3,White,Black or African American,Assault,Aurora,3,West,
318,Michigan,1996,1,White,White,Assault,Trenton,1,Midwest,
319,Washington,1992,1,White,Black or African American,Assault,Tacoma,1,West,
320,Washington,2004,2,Black or African American,White,Assault,Pierce,1,West,
321,Washington,2000,1,Black or African American,White,Assault,Seattle,1,West,
322,Oregon,1993,1,White,Black or African American,Assault,Portland,5,West,
323,New Jersey,2007,1,White,Others,Assault,Fairview,1,Northeast,
324,Minnesota,2005,1,White,Others,Intimidation,St. Louis Park,1,Midwest,
325,Texas,2015,2,White,Others,Assault,San Antonio,3,South,
326,Florida,2009,1,White,Others,Assault,Largo,1,South,
327,New York,1996,1,White,Black or African American,Intimidation,Suffolk County Police Department,1,Northeast,
328,Washington,2018,1,White,Others,Others,Seattle,1,West,0.0
329,Michigan,2018,1,White,Others,Intimidation,Ottawa,1,Midwest,0.0
330,Virginia,2001,1,Black or African American,White,Assault,Henrico County Police Department,3,South,
331,Indiana,2011,1,Black or African American,Black or African American,Others,Indianapolis,1,Midwest,0.0
332,California,2001,1,Black or African American,White,Intimidation,Los Angeles,1,West,
333,California,2000,1,White,Others,Assault,Santa Monica,1,West,
334,District of Columbia,2009,1,Black or African American,Others,Assault,Washington,1,South,
335,Kansas,1991,1,White,Black or African American,Intimidation,Sedgwick,2,Midwest,
336,Connecticut,2010,1,White,Black or African American,Intimidation,Glastonbury,1,Northeast,
337,New Jersey,2005,1,White,Black or African American,Assault,Edison Township,1,Northeast,
338,Tennessee,2000,1,Black or African American,White,Assault,Pulaski,1,South,
339,Illinois,1999,1,Black or African American,White,Assault,Zion,1,Midwest,
340,New Jersey,1991,1,White,Black or African American,Intimidation,Somerdale,1,Northeast,
341,Michigan,2013,1,White,Black or African American,Assault,Roseville,1,Midwest,0.0
342,South Carolina,2005,8,White,Black or African American,Assault,Aiken,1,South,
343,New Jersey,2014,1,Black or African American,Others,Assault,East Brunswick Township,1,Northeast,0.0
344,Virginia,1999,1,Black or African American,Asian,Others,Henrico County Police Department,3,South,
345,New Jersey,1994,1,White,Others,Intimidation,Dumont,1,Northeast,
346,Michigan,2018,1,White,Black or African American,Intimidation,Isabella,1,Midwest,0.0
347,Idaho,2017,2,White,Black or African American,Assault,Mountain Home,1,West,1.0
348,New Jersey,2007,1,White,Others,Intimidation,Little Egg Harbor Township,1,Northeast,
349,California,1996,2,White,Others,Property,Costa Mesa,1,West,
350,Minnesota,2018,1,Black or African American,Others,Assault,Minneapolis,1,Midwest,1.0
351,New Jersey,1991,1,White,Black or African American,Intimidation,Highland Park,1,Northeast,
352,Arizona,2000,4,White,Black or African American,Assault,Mesa,5,West,
353,New Jersey,2008,1,White,Others,Intimidation,Neptune Township,1,Northeast,
354,Georgia,2017,3,White,Black or African American,Intimidation,Cobb County Police Department,1,South,
355,California,2012,1,White,Black or African American,Assault,San Francisco,1,West,
356,New Jersey,1999,2,White,Others,Intimidation,Middlesex Borough,1,Northeast,
357,Minnesota,1996,2,White,Asian,Intimidation,Rochester,1,Midwest,
358,New York,2010,1,Black or African American,White,Assault,New York,1,Northeast,
359,Minnesota,2014,1,Black or African American,White,Assault,Minneapolis,2,Midwest,2.0
360,Illinois,2009,2,White,Black or African American,Intimidation,Litchfield,1,Midwest,
361,California,2007,1,White,Black or African American,Intimidation,Fresno,1,West,
362,California,2001,1,Black or African American,White,Assault,San Francisco,2,West,
363,Minnesota,2015,1,White,Black or African American,Assault,Coon Rapids,1,Midwest,
364,Missouri,1992,2,Black or African American,White,Assault,St. Louis,3,Midwest,
365,Ohio,1992,1,Black or African American,White,Assault,Akron,3,Midwest,
366,Illinois,1993,1,White,Black or African American,Assault,Chicago,3,Midwest,
367,Florida,1994,1,Black or African American,White,Others,Miami,1,South,
368,Arizona,1991,1,White,Black or African American,Assault,Phoenix,1,West,
369,Wisconsin,1999,1,White,Black or African American,Assault,Kenosha,4,Midwest,
370,Missouri,1992,1,White,Black or African American,Assault,St. Louis,1,Midwest,
371,Texas,2011,3,White,Black or African American,Intimidation,Comal,1,South,0.0
372,New York,1996,1,White,Others,Intimidation,Nassau,1,Northeast,
373,Ohio,1995,1,White,Black or African American,Assault,Columbus,1,Midwest,
374,Massachusetts,2013,1,White,White,Others,Plymouth,1,Northeast,0.0
375,Pennsylvania,2006,1,White,White,Assault,Lancaster,5,Northeast,
376,Massachusetts,1995,1,Black or African American,White,Intimidation,Boston,1,Northeast,
377,New York,2018,1,Black or African American,Others,Assault,New York,1,Northeast,
378,Washington,2005,2,White,Asian,Intimidation,Seattle,2,West,
379,Kansas,2005,2,White,Black or African American,Property,Riley County Police Department,1,Midwest,
380,Arizona,2007,2,White,Black or African American,Intimidation,Phoenix,1,West,
